cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
263.0,1.9459101490553132,10.807705703176014,1.0986122886681096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209.0,1.791759469228055,10.21464198117305,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505.0,2.1972245773362196,10.571316925111784,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
431.0,2.0794415416798357,9.878169744551839,1.3862943611198906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
528.0,1.9459101490553132,10.696480068065789,1.0986122886681096,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
660.0,2.302585092994046,10.42821608147111,0.6931471805599453,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
844.0,2.0794415416798357,10.114558522616068,1.0986122886681096,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
253.0,1.6094379124341003,10.42821608147111,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
398.0,1.9459101490553132,9.735068900911164,1.3862943611198906,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
212.0,2.1972245773362196,9.041921720351219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
412.0,1.791759469228055,10.003332887505843,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
422.0,2.0794415416798357,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
423.0,2.0794415416798357,10.571316925111784,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
288.0,2.0794415416798357,10.21464198117305,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
